Complexity,Loss,Equation
1,6.4662068e7,"A"
2,151882.81,"8166.746"
4,124145.0,"8303.877 - A"
6,87670.91,"8459.386 - (Z * Z_cou)"
7,78895.07,"8338.119 - (1.0720654 ^ Z)"
8,74890.38,"8575.005 - (Z_cou * (A - Z))"
9,59298.793,"((156.2749 - A) * Z_cou) - -8153.0044"
11,47846.62,"(9964.646 - (A * Z_cou)) - (A_3root * 5294.6846)"
12,37715.543,"(12345.926 - (A * 12.038381)) - (A_3root * 12203.049)"
13,26834.436,"(10291.614 - (Z_cou * A)) - ((NZ_Asim + A_3root) * 6034.122)"
14,13350.271,"((Z_cou * -747.52826) - -16058.952) - ((NZ_Asim + A_3root) * 18957.81)"
16,8415.882,"(14931.87 - ((Z - -551.11035) * Z_cou)) - ((A_3root + NZ_Asim) * 16747.902)"
18,5213.2935,"((15630.111 - (A - (Z_cou * -638.1651))) - ((NZ_Asim + A_3root) * 18098.52)) - A"
19,359.48618,"((Z_cou * -696.2638) - -15492.345) - ((22914.152 * (A_3root + NZ_Asim)) + (A_3root * -6109.4824))"
21,93.681625,"((Z_cou * -697.842) - -15513.019) - ((22998.557 * (A_3root + NZ_Asim)) + (-6139.421 * (A_3root + pairing)))"
23,63.523907,"((Z_cou * -699.0429) - -15527.873) - ((A_3root * -6097.48) + (23001.61 * (A_3root + (NZ_Asim - (pairing * A_3root)))))"
24,0.23037922,"((Z_cou * -699.4964) - -15533.755) - ((A_3root * -6062.196) + (22987.703 * ((A_3root + NZ_Asim) - (pairing * 0.54307854))))"
26,0.0009815621,"(((Z_cou * -699.9439) - -15539.338) - ((A_3root * -6082.0474) + (23019.207 * (A_3root + (NZ_Asim - (pairing * 0.5429341)))))) - A_3root"
