Complexity,Loss,Equation
1,6.4376116e7,"A"
2,142006.84,"8149.545"
4,114403.305,"8286.676 - A"
6,77873.95,"8442.161 - (Z * Z_cou)"
7,67920.65,"8321.908 - (1.0721532 ^ Z)"
8,65105.51,"8557.811 - (Z_cou * (A - Z))"
9,50033.492,"8139.3906 - ((A + -155.49045) * Z_cou)"
11,21673.861,"(-14403.045 / Z) + (9194.797 - (A * Z_cou))"
13,19358.338,"((9394.169 + (-17006.348 / Z)) - (A * Z_cou)) - A"
15,19175.182,"(((-17090.822 / Z) + 9400.433) - ((NZ_Asim + Z_cou) * A)) - A"
16,15680.439,"(-14181.596 / Z) + ((9301.65 - (Z_cou * A)) - (NZ_Asim * 3894.415))"
17,3847.7131,"((-56690.945 / A) + 11311.745) - ((NZ_Asim * 15657.171) + (Z_cou * 465.8055))"
19,3502.7866,"((11435.774 + (-57189.855 / A)) - ((Z_cou * 513.127) + (NZ_Asim * 17035.453))) + A"
21,3436.6772,"((11405.032 + (-56819.234 / A)) - ((Z_cou * (Z_cou + 502.68408)) + (NZ_Asim * 16968.229))) + A"
23,3436.3484,"(((11405.454 + (-56818.906 / A)) - ((Z_cou * (Z_cou + 502.72098)) + (NZ_Asim * 16969.496))) + A) - A_3root"
25,3436.0566,"((((11405.454 + (-56818.906 / A)) - ((Z_cou * (Z_cou + 502.72098)) + (NZ_Asim * 16969.496))) + A) - A_3root) - A_3root"
27,3435.69,"((((11406.152 + (-56818.906 / A)) - ((Z_cou * (Z_cou + 502.77826)) + (NZ_Asim * 16969.475))) + (A - A_3root)) - A_3root) - A_3root"
29,3435.5679,"((((11406.152 + ((-56818.88 - Z_cou) / A)) - ((Z_cou * (Z_cou + 502.77826)) + (NZ_Asim * 16969.475))) + (A - A_3root)) - A_3root) - A_3root"
