Complexity,Loss,Equation
1,2232.6738,"pairing"
2,1936.7926,"-17.200468"
4,1935.766,"-12.627602 - Z_cou"
6,1928.0449,"-18.907047 + (NZ_Asim * Z)"
7,1576.8472,"(NZ_Asim - 0.04684586) * 953.03107"
9,915.24146,"(NZ_Asim - 0.05009781) * (3806.4294 / Z_cou)"
11,842.7021,"(((NZ_Asim - 0.06517834) / Z_cou) / Z_cou) * 6122.5337"
12,802.8371,"((5559.205 / Z_cou) + -701.39044) * (NZ_Asim - 0.055350166)"
13,801.367,"((NZ_Asim - 0.06269709) * ((5865.18 / Z_cou) / Z_cou)) - Z_cou"
14,766.07477,"((NZ_Asim - 0.054272164) * ((5792.8364 / Z_cou) + -869.16095)) - Z_cou"
15,744.63995,"((NZ_Asim - 0.048296362) * ((6046.073 / Z_cou) + -1165.6622)) + -15.151818"
16,730.1508,"(((6116.123 / Z_cou) + -1095.2147) * (NZ_Asim - 0.05318525)) - (Z * A_3root)"
17,717.2197,"(((6257.752 / Z_cou) + -1143.6965) * (NZ_Asim - 0.053958572)) - (A * 0.088172615)"
18,716.81055,"(((5957.0176 / Z_cou) + -923.45557) * (NZ_Asim - 0.053900808)) - ((NZ_Asim * Z_cou) * Z)"
19,703.45825,"(NZ_Asim * -1055.6649) + ((A_3root * 371.6616) + ((NZ_Asim - 0.069067344) * (6834.0693 / Z_cou)))"
20,690.7312,"(A_3root * 687.83215) + (((NZ_Asim - 0.08376213) * ((7135.111 / Z_cou) + -812.1497)) + -111.81819)"
21,675.3746,"(Z_cou * (NZ_Asim * -192.86768)) + ((((NZ_Asim - 0.08676188) * 6271.6265) / Z_cou) - (A_3root * -450.7032))"
23,659.7581,"((A_3root * 686.9955) + (((NZ_Asim - 0.098805465) * 8341.914) / (A_3root + Z_cou))) + (Z_cou * (NZ_Asim * -224.98573))"
24,658.2734,"(NZ_Asim * (-241.18658 * Z_cou)) + ((A_3root * 874.9703) + ((NZ_Asim - 0.108945735) * (10347.265 / (Z_cou + 0.6900457))))"
25,654.8471,"((((NZ_Asim - 0.06965793) * 6076.9634) / ((NZ_Asim ^ (A * NZ_Asim)) + Z_cou)) + (NZ_Asim * (Z_cou * -240.71286))) + 68.05464"
26,642.6213,"(((Z_cou * NZ_Asim) * -233.42183) + 63.210514) + ((NZ_Asim - 0.06798036) * (5856.174 / (Z_cou + (A_3root ^ (NZ_Asim * 297.53436)))))"
27,642.03766,"((NZ_Asim * (Z_cou * -230.93625)) + 62.24259) + ((5829.5586 / (Z_cou + (0.048103217 ^ (NZ_Asim * 122.26293)))) * (NZ_Asim - 0.067719266))"
28,614.0537,"((6536.2983 / (Z_cou + (NZ_Asim ^ (NZ_Asim * 97.898705)))) * (NZ_Asim - 0.08810424)) + (((Z * NZ_Asim) * -11.163394) + (A_3root * 440.874))"
30,603.41187,"(((Z * -11.872282) * NZ_Asim) + ((6968.083 / ((NZ_Asim + (NZ_Asim ^ (NZ_Asim * 85.17659))) + Z_cou)) * (NZ_Asim - 0.08897621))) + (A_3root * 478.98764)"
31,599.41394,"(((NZ_Asim - 0.10116047) * (9290.534 / ((NZ_Asim ^ (NZ_Asim * 99.16005)) + (Z_cou + 0.4793361)))) + ((NZ_Asim * -12.9710455) * Z)) + (A_3root * 696.45355)"
32,598.55664,"((A_3root * 639.89886) + (((NZ_Asim - 0.09508447) / (Z_cou + ((NZ_Asim ^ (NZ_Asim * 64.3956)) + (NZ_Asim ^ A_3root)))) * 8751.6875)) + (Z_cou * (NZ_Asim * -221.0708))"
33,596.47784,"(NZ_Asim * (Z_cou * -218.68423)) + ((((NZ_Asim - 0.096521564) * 8670.729) / (((NZ_Asim ^ 0.33721778) + (NZ_Asim ^ (NZ_Asim * 74.982925))) + Z_cou)) + (A_3root * 666.1555))"
34,592.6059,"((Z * -13.6932745) * NZ_Asim) + ((A_3root * 631.1646) + ((8375.497 / (Z_cou + ((NZ_Asim + (NZ_Asim ^ (NZ_Asim * 90.83485))) ^ (Z / A)))) * (NZ_Asim - 0.096517324)))"
35,592.43005,"((NZ_Asim - 0.09629375) * (8670.134 / (Z_cou + ((((NZ_Asim ^ (NZ_Asim * 131.0553)) - pairing) + NZ_Asim) ^ 0.3267343)))) + ((A_3root * 660.62976) + (Z_cou * (NZ_Asim * -216.46307)))"
36,589.8754,"((8367.856 / ((((NZ_Asim ^ (NZ_Asim * 92.8923)) + (NZ_Asim - pairing)) ^ (Z / A)) + Z_cou)) * (NZ_Asim - 0.09642704)) + ((A_3root * 630.48157) + ((Z * -13.731066) * NZ_Asim))"
37,588.5004,"((A_3root * 667.9506) + ((Z_cou * NZ_Asim) * -219.57767)) + (((NZ_Asim - 0.09665548) / (((Z_cou + (NZ_Asim ^ 0.33447015)) + (NZ_Asim ^ (NZ_Asim * 76.18726))) - (pairing * Z))) * 8668.676)"
38,586.86487,"((8399.588 / ((((NZ_Asim ^ (NZ_Asim * 69.296135)) - (Z * pairing)) + (NZ_Asim ^ (Z / A))) + Z_cou)) * (NZ_Asim - 0.09445376)) + (((NZ_Asim * Z_cou) * -219.07637) + (A_3root * 638.07184))"
39,581.2863,"((A_3root * 639.4407) + ((Z_cou * NZ_Asim) * -218.13817)) + ((8400.361 / ((((NZ_Asim ^ (NZ_Asim * 119.8473)) + NZ_Asim) ^ ((Z / A) - (pairing * -26.81121))) + Z_cou)) * (NZ_Asim - 0.0946967))"
